"A_1"	"A_2"	"A_3"	"A_4"	"A_5"	"B_1"	"B_2"	"B_3"	"B_4"	"B_5"
"C3orf18"	3.17513	3.50416	2.97494	2.97575	2.61998	16.4526	17.7101	16.8261	16.5969	13.8289
"C3orf19"	5.29822	5.57862	5.52987	5.87151	5.60208	4.27624	4.33586	4.30019	4.05632	4.07072
"C3orf20"	0.0172696	0.0180438	0.0169666	0.0370149	0.0237884	0.0449933	0.0219315	0.0219707	0.0257019	0.0167526
"C3orf21"	8.86309	9.2661	8.89561	8.78652	10.3965	2.54045	2.69817	2.86432	2.94095	3.31152
"C3orf22"	0	0	0	0	0	0	0	0.0125494	0	0
"C3orf23"	9.71826	8.40074	8.92792	9.69802	9.65161	7.18655	6.50318	7.60719	7.23839	7.66464
"C3orf24"	0.0383213	0.0858727	0.04216	0.0475263	0.0179035	0	0	0	0	0
"C3orf25"	0.389349	0.404459	0.476715	0.49099	0.257794	0.730219	0.777849	0.687549	0.736453	0.684536
"C3orf26"	34.3696	31.1287	31.3509	34.8763	34.0834	14.72	15.3938	16.2657	15.2161	16.3907
"C3orf27"	0.0129352	0	0	0.00353803	0.00594869	0.00401328	0.00768343	0	0.00917739	0
"C3orf30"	0.00660863	0.021849	0	0	0.018313	0	0	0.00592733	0	0
"C3orf32"	3.02009	3.19293	2.81966	3.01331	3.27219	0.117896	0.106069	0.0923422	0.135247	0.128583
"C3orf33"	3.37658	2.80836	3.19119	3.51099	3.00816	3.13927	2.98694	3.14845	3.29261	3.5959
"C3orf35"	0.481208	0.585884	0.583542	0.596858	0.398401	0.287161	0.375932	0.311171	0.273094	0.290783
"C3orf36"	0.0362588	0.0319872	0.0357361	0.0178985	0.0201192	0.00675711	0.0388895	0.0325487	0.0154938	0.0117839
"C3orf37"	27.4918	29.0617	27.991	29.7219	26.9875	20.5008	20.296	21.4433	21.0762	19.492
"C3orf38"	7.13876	6.44785	6.50258	6.74516	7.10114	4.28705	4.40403	4.56439	4.33189	4.56681
"C3orf39"	5.29872	6.42994	6.7095	6.05167	7.35663	19.9826	20.6982	19.5843	20.0184	21.3009
"C3orf43"	0.0198739	0.0438044	0.0435047	0.0381301	0.0367158	0.00617133	0.0177512	0.0653597	0.0282849	0.0107559
"C3orf45"	3.07597	3.0959	3.69717	3.3034	2.21183	0.979187	1.06676	1.18744	1.13776	0.781631
"C3orf49"	0.0483605	0.0748388	0.0796	0.0478482	0.0269555	0.207469	0.242685	0.226476	0.321312	0.204981
"C3orf51"	0.0156596	0.00574468	0.0171197	0.00857338	0	0.0486019	0.037243	0.0327114	0.0222467	0.0169185
"C3orf52"	2.024	2.12397	2.11894	1.94122	1.70917	0.0591371	0.0721539	0.0554647	0.0935166	0.0655351
"C3orf54"	0.644689	0.948139	1.34991	1.11694	1.35442	1.67824	1.80508	1.63614	1.79995	2.25168
"C3orf55"	0.19619	0.266911	0.183444	0.277407	0.182299	0.168368	0.19318	0.222918	0.343592	0.381445
"C3orf58"	5.48127	4.64081	5.29575	5.56243	5.92139	9.35934	9.00414	9.82705	9.11178	11.1475
"C3orf62"	2.02586	1.90273	1.6243	1.85421	1.87118	1.57022	1.70066	1.53815	1.57991	1.68095
"C3orf64"	3.32898	2.90574	2.99406	3.14152	3.11491	1.6738	1.62008	1.75037	1.72696	1.77761
"C3orf65"	0.0424215	0.0333751	0.0795589	0.044825	0.0167762	0.00564438	0.0108194	0.0108629	0.0193922	0
"C3orf67"	1.64229	1.67545	1.26711	1.57695	1.43338	0.204403	0.171238	0.143216	0.160714	0.177773
"C3orf70"	0.368027	0.420451	0.461521	0.427812	0.426927	5.0859	4.96029	5.22971	5.30459	5.26732
"C3orf71"	0.585113	0.641256	0.724178	0.5941	0.95986	0.618446	0.686229	0.723397	0.660536	0.735044
"C3orf72"	0.91691	0.868589	0.832632	0.909426	0.957651	0.106621	0.106929	0.132212	0.0920464	0.099346
"C3orf74"	0.0229602	0.00841141	0	0.00313869	0.0105496	0	0.0102234	0.00683898	0.00406999	0
"C3orf75"	20.3458	23.9149	22.8053	22.5515	20.1283	11.824	13.0562	12.4831	12.3359	11.2385
"C3orf77"	0	0	0	0.00173267	0	0.00983838	0.00188067	0	0	0.00341458
"C3orf78"	15.9107	16.9319	16.906	17.5977	17.2176	4.16211	4.28675	4.20167	4.65981	5.0706
"C3orf79"	0	0.0290511	0.043154	0	0	0	0.023585	0.0238085	0.0283084	0
"C3orf80"	0.646876	0.532327	0.84517	0.64228	0.786676	5.61725	5.0433	5.55514	5.39818	7.48525
"C3P1"	0.00303729	0	0.00994335	0.00248945	0	0	0.00270253	0	0	0
"C4A"	9.47269	9.13828	11.0588	9.86462	12.2208	5.429	5.60705	5.21246	5.50509	5.25405
"C4A"	9.49588	9.40777	11.2911	9.99821	12.2055	5.65465	5.71785	5.40293	5.66261	5.48082
"C4A"	0	0	0	0	0	0	0	0	0	0
"C4A"	0	0	0	0	0	0	0	0	0	0
"C4A"	0	0	0	0	0	0	0	0	0	0
"C4A"	0	0	0	0	0	0	0	0	0	0
"C4A"	0	0	0	0	0	0	0	0	0	0
"C4A"	0	0	0	0	0	0	0	0	0	0
"C4A"	0	0	0	0	0	0	0	0	0	0
"C4B"	3.85125	7.57845	4.39474	3.81868	5.3703	2.10231	2.23156	1.98472	2.14389	2.17677
"C4B"	0	0	0	0	0	0	0	0	0	0
"C4B"	0	0	0	0	0	0	0	0	0	0
"C4B"	0	0	0	0	0	0	0	0	0	0
"C4BPA"	2.75094	2.73294	2.53974	2.79383	2.41612	0.0195528	0.0234115	0.00470012	0.0167816	0
"C4BPB"	19.4222	18.6362	19.2974	20.462	16.1613	0.0320915	0.0124356	0	0.0148853	0
"C4orf10"	1.4246	1.35188	1.56581	1.49526	1.22144	2.7292	2.72206	2.78628	2.64308	2.30177
"C4orf11"	0	0	0	0	0	0	0	0.0287686	0	0
"C4orf14"	10.9099	10.3139	10.6389	10.9321	13.9956	5.12961	5.28271	5.49277	5.04501	6.56999
"C4orf17"	0.0074037	0	0	0	0	0	0	0	0	0.0120333
"C4orf19"	0.638707	0.50179	0.551119	0.572557	0.602233	0.641082	0.683173	0.794942	0.765648	0.915125
"C4orf21"	4.08479	3.48717	3.7669	3.62587	4.21239	0.64054	0.68594	0.6538	0.714718	0.678989
"C4orf22"	0.0444956	0.0659141	0.122594	0.12962	0.0626067	0.277177	0.307397	0.551477	0.352029	0.219128
"C4orf26"	0.0501772	0.0279768	0.0625194	0.03653	0.0527483	0.086488	0.107702	0.0796845	0.101606	0.144245
"C4orf27"	17.8856	15.6493	15.9026	18.0649	16.8908	13.7334	13.5821	15.5629	14.3597	16.4812
"C4orf29"	2.8376	2.82652	2.81359	2.54779	2.75935	1.64763	1.47252	1.71972	1.63278	1.81012
"C4orf3"	38.642	36.3567	39.6081	40.0433	38.029	34.2769	33.421	36.4909	35.5729	35.6945
"C4orf32"	3.61081	2.90611	3.15733	3.407	4.0579	1.53955	1.50407	1.74191	1.48348	1.83537
"C4orf33"	4.24683	4.30046	4.27744	4.57001	4.08964	5.114	4.84024	5.22091	5.23896	5.27071
"C4orf34"	13.0767	12.132	12.4632	12.9467	13.3998	14.5131	14.6814	15.5542	15.1121	15.7438
"C4orf36"	0.393536	0.453304	0.433612	0.410399	0.225478	0.422153	0.210084	0.409616	0.22007	0.310936
"C4orf37"	0.0292588	0.00806672	0.0240322	0.0240732	0.0304444	0.095423	0.0523063	0.0853685	0.0625183	0.0237744
"C4orf38"	0.124568	0.143081	0.124361	0.111214	0.172213	0.0453886	0.0193252	0.0581991	0.0461769	0.0526764
"C4orf39"	0.396348	0.256991	0.471968	0.24082	0.337781	0.980806	1.03648	1.19606	1.03	1.23218
"C4orf40"	0.00472105	0	0	0	0	0	0	0	0	0
"C4orf41"	8.26916	7.07634	7.33388	7.16256	7.99605	7.45365	7.35594	7.74969	7.11596	7.37832
"C4orf42"	5.45821	5.8606	5.64164	5.47844	5.52154	3.51392	3.32063	3.26506	3.24337	2.91584
"C4orf43"	12.1447	11.0189	12.1042	12.9521	12.8543	2.90764	2.87588	3.46175	3.26403	3.48138
"C4orf44"	0.101323	0.103751	0.083218	0.12504	0.150591	0.404621	0.530428	0.461267	0.494809	0.67034
"C4orf45"	0	0	0	0.0137583	0	0.0310107	0.0598862	0.0753731	0.107591	0.191009
"C4orf46"	7.61917	6.37234	6.93703	7.54169	7.58076	1.37666	1.21554	1.2021	1.30294	1.38238
"C4orf47"	1.48726	1.56084	1.30525	1.55181	1.2785	0.400418	0.397814	0.303186	0.432844	0.395145
"C4orf48"	0	0.22549	0.401091	0.169555	29.2852	0.854611	0.21992	0.445762	0.783317	40.1581
"C4orf49"	0.240842	0.163761	0.167658	0.244311	0.154776	3.3687	3.68396	3.59357	3.69076	3.8034
"C4orf51"	0	0.0176941	0	0.0131908	0.0448597	0	0.0287045	0.0433452	0	0
"C4orf52"	20.0037	17.293	18.0234	19.1267	19.9087	9.72022	10.3135	10.1196	10.253	11.2292
"C4orf6"	0.0765435	0.0340326	0.101269	0.126862	0.0862363	0	0	0	0	0
"C4orf7"	0.0287088	0.129361	0.0960383	0	0.0829576	0	0	0	0	0
"C5"	6.1225	5.28052	5.56634	5.60707	6.16046	0.775456	0.752147	0.776453	0.762163	0.889303
"C5AR1"	0.681954	0.772438	0.723487	0.786381	0.671929	1.19047	1.24297	1.01875	1.16975	1.12111
"C5orf13"	50.9106	48.2342	49.9183	52.2249	49.055	104.595	102.03	106.988	103.309	107.145
"C5orf15"	33.0988	28.6027	30.741	32.6144	33.45	10.7581	10.2215	10.3664	9.86571	11.5048
"C5orf20"	0.011033	0	0	0	0	0.00684466	0.0130983	0.00657133	0.0156429	0.0059478
"C5orf22"	10.6703	9.36238	9.61874	9.98361	10.4307	6.40307	6.03136	6.33683	6.11419	6.46563
"C5orf24"	12.2552	10.6671	11.3922	11.6105	13.2069	15.7592	15.259	16.9411	15.5691	17.6298
"C5orf25"	6.63434	6.07149	6.6109	6.5774	5.74568	4.02179	4.00712	4.50805	4.10602	4.06858
"C5orf27"	0.118285	0.102873	0.122611	0.16375	0.0689567	0.800221	0.833738	0.859454	0.803658	0.889022
"C5orf28"	5.47591	4.27723	4.7686	5.29865	5.12262	2.68144	2.42799	2.39143	2.36745	2.45039
"C5orf30"	7.13629	6.1007	6.36955	6.94272	7.26531	10.1994	10.2917	10.761	10.542	12.1337
"C5orf32"	41.6041	47.6464	45.479	44.3303	38.2574	35.8552	36.9013	33.9786	33.8383	31.248
"C5orf34"	4.6784	4.17993	4.63102	4.73277	4.70203	0.544919	0.480651	0.622583	0.422022	0.619483
"C5orf35"	3.073	2.61495	2.50523	2.45027	2.68327	1.11787	1.2317	1.36359	0.863086	1.11133
"C5orf38"	0.104531	0.149333	0.271569	0.148449	1.42903	0.237215	0.0807459	0.0948093	0.19335	0.809057
"C5orf39"	3.33694	3.74386	3.68937	3.60667	3.00018	0.340698	0.300862	0.435786	0.38097	0.30588
"C5orf4"	5.21378	5.28952	4.62381	4.95655	4.69398	21.4002	21.9006	21.3487	20.4632	19.3073
"C5orf41"	1.69864	1.57032	1.65575	1.51856	1.87037	5.84115	5.71986	5.92768	5.61302	6.47314
"C5orf42"	1.89768	1.8211	1.78149	1.72949	2.1084	2.62968	2.39474	2.54244	2.43569	2.5594
"C5orf43"	17.9467	15.2588	16.8123	17.4607	18.6378	6.37374	6.47474	7.1133	7.00844	8.03981
"C5orf44"	9.12138	7.52727	8.44894	9.118	8.8124	8.24693	8.10804	8.36184	8.42722	8.77229
"C5orf45"	5.22551	6.36435	6.11094	5.61849	6.56705	8.08843	8.78506	8.38588	8.1204	8.91731
"C5orf46"	0.028411	0.0639905	0.0475091	0.0238249	0.123075	0.29348	0.181865	0.236213	0.28082	0.142522
"C5orf47"	0.0277842	0.0101867	0.0151799	0.00380085	0	0.081903	0.0536552	0.0911318	0.0591622	0.0824843
"C5orf48"	0	0	0	0	0	0.034092	0.0333845	0.0338005	0	0
"C5orf49"	0.163767	0.0977559	0.062358	0.135382	0.194156	3.31669	3.19346	3.56504	3.61816	3.25757
"C5orf51"	10.3129	8.78878	9.77665	9.52648	10.9625	7.21625	6.95121	7.30167	7.14677	8.2022
"C5orf52"	0	0	0	0	0	0	0	0	0.0660555	0
"C5orf54"	3.49633	3.01231	3.14176	3.39744	3.32876	3.41567	3.57481	3.57997	3.11765	3.69839
"C5orf55"	1.92132	2.46693	2.62648	2.09676	3.48937	1.30086	1.18765	1.23333	1.33136	1.62257
"C5orf56"	3.61166	4.50277	4.2833	3.76816	4.16932	3.31957	3.90753	3.98552	3.58939	4.1326
"C5orf58"	0.0309815	0	0	0.0260411	0	0.0582427	0.142052	0.0287215	0.0682812	0.155968
"C5orf60"	0.0316426	0	0.0173737	0.00870333	0.0147217	0.02952	0.00946068	0	0.0339476	0
"C5orf62"	9.19573	9.58703	8.88308	9.53314	8.75647	4.13088	4.23886	4.65547	4.27616	4.49081
"C5orf63"	1.85288	1.49778	1.67568	1.80561	1.15363	0.79896	0.741314	0.680289	0.8302	0.735012
"C5orf64"	0.0194668	0.00855846	0.012755	0.0223548	0.00536733	0.311605	0.273925	0.313142	0.302309	0.308622
"C5orf65"	0.19469	0.295587	0.237664	0.223503	1.13629	0.197633	0.211141	0.186553	0.199464	0.469351
"C6"	0.0125028	0.0104632	0.0155953	0.0104121	0.00437169	0.0679535	0.045215	0.0680436	0.08099	0.0564546
"C6orf1"	13.1225	17.0473	16.362	15.2901	18.3302	40.5142	41.375	40.4356	40.1237	41.3499
"C6orf10"	0	0.00692155	0	0	0	0.00585204	0.0168288	0.00563251	0.00670325	0
"C6orf10"	0	0	0	0	0	0	0	0	0	0
"C6orf10"	0	0	0	0	0	0	0	0	0	0
"C6orf10"	0	0	0	0	0	0	0	0	0	0
"C6orf10"	0	0	0	0	0	0	0	0	0	0
"C6orf10"	0	0	0	0	0	0	0	0	0	0
"C6orf10"	0	0	0	0	0	0	0	0	0	0
"C6orf10"	0	0	0	0	0	0	0	0	0	0
"C6orf103"	0	0.00234174	0	0	0	0.00793977	0.0113832	0.0133199	0.01359	0.017223
"C6orf105"	3.72995	3.59126	3.90793	3.94288	3.50086	0.681325	0.593878	0.751417	0.773593	0.507383
"C6orf106"	31.8114	31.6305	30.8818	30.7903	28.7566	40.2716	41.3879	40.8058	40.3445	38.2879
"C6orf108"	22.9105	31.8603	34.7459	28.1975	60.8793	12.2429	11.8201	12.1131	12.5255	19.6504
"C6orf112"	0.0913694	0.139479	0.103887	0.0809377	0.116949	0.314327	0.251219	0.277524	0.202666	0.234061
"C6orf115"	32.693	30.2215	31.4562	33.5706	31.0878	7.19019	7.72152	8.22115	7.01247	8.55221
"C6orf118"	0.00651044	0.0286964	0.0106877	0.0481745	0.0450941	0.0667118	0.0581439	0.0642234	0.104225	0.0634132
"C6orf120"	8.67433	7.30653	8.42269	8.51129	9.67151	6.90263	6.67806	7.78451	7.15346	8.54739
"C6orf123"	0.0146686	0.016177	0.0361454	0.00603452	0.0101757	0.0136685	0.0196678	0.0329228	0.0470155	0.0357581
"C6orf124"	0.503335	0.531489	0.458502	0.551069	0.554932	0.255616	0.308292	0.336757	0.259976	0.337753
"C6orf125"	98.2851	102.604	106.059	106.219	85.0488	36.4252	35.2719	36.0976	34.1672	29.6718
"C6orf126"	0.346857	0.495604	0.660774	0.257946	0.257728	0.16375	0.0805835	0.204395	0	0.148009
"C6orf127"	0.136677	0.0387027	0.0574178	0.0576066	0	0.225086	0.282979	0.222707	0.264681	0.115181
"C6orf130"	21.1321	18.1425	19.3139	22.3361	19.6012	8.67791	7.97766	8.87431	9.65803	8.4714
"C6orf132"	0.387563	0.410452	0.519445	0.42348	0.411063	0.0216542	0.0399025	0.0237134	0.0370482	0.0187805
"C6orf136"	10.4528	12.0419	11.5977	11.2461	11.2297	19.0342	20.6548	19.2167	19.873	19.3516
"C6orf136"	0	0	0	0	0	0	0	0	0	0
"C6orf136"	0	0	0	0	0	0	0	0	0	0
"C6orf136"	0	0	0	0	0	0	0	0	0	0
"C6orf136"	0	0	0	0	0	0	0	0	0	0
"C6orf136"	0	0	0	0	0	0	0	0	0	0
"C6orf136"	0	0	0	0	0	0	0	0	0	0
"C6orf138"	1.39219	1.45537	1.5714	1.44513	1.54472	0.496891	0.380825	0.403101	0.469325	0.573832
"C6orf141"	1.89263	2.36138	2.16197	1.88469	2.81227	0.974537	0.823434	1.0473	0.81316	0.855429
"C6orf145"	7.32767	8.40295	7.98843	7.44772	9.8509	5.48155	5.62037	5.48311	5.19077	6.44858
"C6orf146"	0	0.0057037	0	0	0	0.00482563	0	0	0.00552194	0.0167976
"C6orf147"	1.78663	1.5781	1.84666	1.83593	1.15929	1.13415	1.34775	1.52236	1.21075	1.12169
"C6orf15"	0	0	0.0184299	0	0	0	0	0.0302749	0.0120073	0.0365351
"C6orf15"	0	0	0	0	0	0	0	0	0	0
"C6orf15"	0	0	0	0	0	0	0	0	0	0
"C6orf15"	0	0	0	0	0	0	0	0	0	0
"C6orf15"	0	0	0	0	0	0	0	0	0	0
"C6orf15"	0	0	0	0	0	0	0	0	0	0
"C6orf154"	0.250916	0.325349	0.439028	0.348121	0.493494	2.93888	3.18387	3.22624	3.00754	3.76085
"C6orf162"	2.70349	2.52027	2.66509	2.87226	2.72186	4.68876	4.82173	5.16755	4.66324	5.39348
"C6orf163"	0.362736	0.400907	0.392756	0.306913	0.385654	0.0979227	0.128293	0.197692	0.143188	0.155591
"C6orf164"	0.289182	0.232835	0.205512	0.212302	0.119387	0.152967	0.209696	0.259788	0.167109	0.177939
"C6orf165"	0.255422	0.204991	0.261807	0.23163	0.2795	0.426114	0.284781	0.376396	0.510343	0.457113
"C6orf168"	0.703772	0.592648	0.654312	0.611324	0.639885	5.30332	4.99043	5.25281	5.18408	5.57809
"C6orf170"	1.19987	0.980812	1.12359	1.16844	1.21631	0.992075	1.06178	0.967792	0.970889	1.03055
"C6orf174"	0.377807	0.357229	0.401955	0.334495	0.555848	6.30433	6.09857	6.26976	5.673	9.32834
"C6orf186"	0.0231944	0.0256871	0	0.076628	0.0324372	0.952462	0.676905	0.890069	0.635407	0.568649
"C6orf191"	0.140959	0.095224	0.141401	0.118181	0.203456	0.105888	0.206192	0.234319	0.247619	0.14138
"C6orf192"	5.67855	5.40776	5.5648	6.13242	6.12151	10.3887	9.99769	10.7324	10.3463	10.6604
"C6orf195"	0.0286226	0.0882446	0.0469567	0.037626	0.0554298	0.127945	0.153246	0.0923094	0.0488267	0.092833
"C6orf201"	0.036647	0.0484982	0	0.0241218	0.0305063	0.00682965	0.0262061	0.0263205	0	0.0238226
"C6orf203"	7.31947	7.55591	7.33236	8.48691	6.97697	8.41524	7.69272	8.49086	8.54577	10.2931
"C6orf204"	1.64863	1.48766	1.57722	1.60378	1.91767	2.13341	2.09556	2.34569	2.12132	2.37218
"C6orf208"	0.0590998	0.0499991	0.0745083	0.0373116	0.0752978	0.330083	0.311972	0.252108	0.26134	0.279711
"C6orf211"	14.2984	12.8426	13.3558	14.117	14.7715	7.43795	6.93113	7.62951	7.17372	8.19781
"C6orf218"	1.20966	1.16118	0.953066	1.22766	1.07116	0	0	0	0	0.00619222
"C6orf221"	0.0885899	0.0701524	0.125298	0.0523134	0.0709363	0.236318	0.17066	0.148765	0.081689	0.227859
"C6orf222"	0.00612211	0.0067234	0	0.0125449	0.0210673	0.0199351	0.032685	0.0300578	0.00650491	0.0346256
"C6orf223"	4.4996	5.01161	4.84374	4.67283	4.90344	0.194045	0.171535	0.167205	0.132612	0.149971
"C6orf225"	1.7948	1.74365	1.84175	1.78023	1.66296	7.36766	7.52646	8.03637	7.40743	7.25617
"C6orf226"	1.13541	1.93218	1.75864	1.81019	6.10971	3.43185	2.42921	2.73464	2.49156	6.70787
"C6orf228"	5.99659	5.58362	5.67532	5.82585	6.28371	21.629	20.9627	23.1037	21.0941	24.5486
"C6orf25"	0.238622	0.279634	0.187056	0.127699	0.176931	0.043471	0.0408911	0.0592116	0.0712083	0.00840585
"C6orf25"	0	0	0	0	0	0	0	0	0	0
"C6orf25"	0	0	0	0	0	0	0	0	0	0
"C6orf25"	0	0	0	0	0	0	0	0	0	0
"C6orf25"	0	0	0	0	0	0	0	0	0	0
"C6orf25"	0	0	0	0	0	0	0	0	0	0
"C6orf25"	0	0	0	0	0	0	0	0	0	0
"C6orf26"	8.54174	8.5053	9.5752	10.4497	6.87356	1.74929	1.63143	1.75078	2.41669	1.96108
"C6orf26"	0	0	0	0	0	0	0	0	0	0
"C6orf26"	0	0	0	0	0	0	0	0	0	0
"C6orf26"	0	0	0	0	0	0	0	0	0	0
"C6orf26"	0	0	0	0	0	0	0	0	0	0
"C6orf26"	0	0	0	0	0	0	0	0	0	0
"C6orf27"	0.583946	0.895126	0.702803	0.661501	0.914681	3.20161	3.11001	2.92197	2.8228	2.95642
"C6orf27"	0	0	0	0	0	0	0	0	0	0
"C6orf27"	0	0	0	0	0	0	0	0	0	0
"C6orf27"	0	0	0	0	0	0	0	0	0	0
"C6orf27"	0	0	0	0	0	0	0	0	0	0
"C6orf27"	0	0	0	0	0	0	0	0	0	0
"C6orf35"	3.17342	2.78883	3.02047	3.13894	3.14059	5.97001	5.80654	6.11281	5.80088	6.28794
"C6orf47"	7.95617	8.6531	9.02225	8.23735	8.61069	5.17671	5.47062	5.10182	5.42313	5.08062
"C6orf47"	0	0	0	0	0	0	0	0	0	0
"C6orf47"	0	0	0	0	0	0	0	0	0	0
"C6orf47"	0	0	0	0	0	0	0	0	0	0
"C6orf47"	0	0	0	0	0	0	0	0	0	0
"C6orf47"	0	0	0	0	0	0	0	0	0	0
"C6orf47"	0	0	0	0	0	0	0	0	0	0
"C6orf48"	199.494	198.27	193.799	209.322	216.433	50.9872	50.7339	54.6527	53.3517	57.1562
"C6orf48"	0	0	0	0	0	0	0	0	0	0
"C6orf48"	0	0	0	0	0	0	0	0	0	0
"C6orf48"	0	0	0	0	0	0	0	0	0	0
"C6orf48"	0	0	0	0	0	0	0	0	0	0
"C6orf52"	1.12543	1.13311	1.89537	1.34815	0.902389	1.01273	0.9412	1.19639	0.883123	0.714843
"C6orf57"	11.8884	10.8587	11.8915	12.8508	10.2401	14.7995	14.5068	16.3107	16.2506	12.6461
"C6orf58"	0.136723	0.244336	0.311817	0.225629	0.308247	0.0588693	0.0282994	0.0568945	0.0338485	0.0343297
"C6orf62"	61.5304	51.7099	55.8176	58.559	58.6976	34.1008	33.7509	35.8063	34.1164	38.684
"C6orf64"	6.00644	5.46722	5.18888	6.22871	5.75328	3.50603	3.26634	3.05132	3.44584	3.40684
"C6orf7"	0	0.020578	0	0	0	0.06907	0.0166953	0.168189	0.0200049	0.0913321
"C6orf70"	6.14818	5.52986	5.2465	6.16825	5.38561	4.5762	4.49419	4.29991	4.36078	4.10449
"C6orf72"	17.4759	15.9818	16.0569	16.8101	18.8612	11.7911	11.9361	12.6142	12.3404	14.5648
"C6orf81"	0.768104	0.742253	0.588186	0.741106	0.377684	0.484496	0.630918	0.419592	0.615357	0.54757
"C6orf89"	16.7795	15.2525	15.8662	14.8219	14.8715	14.2738	14.6508	15.1617	14.5101	13.3454
"C6orf94"	0	0	0.0216411	0.0216855	0	0.0367266	0	0.0355847	0.014112	0
"C6orf97"	0.933759	0.954207	0.905198	0.943216	0.960127	0.125198	0.117764	0.137166	0.0816358	0.110357
"C6orf99"	0.38671	0.305673	0.340708	0.341605	0.324914	0.0426347	0.103372	0.0417043	0.148783	0.075488
"C7"	0.116456	0.0810862	0.0650808	0.097762	0.0859791	1.56957	1.66012	1.58426	1.43013	1.40411
"C7orf10"	2.85895	2.73405	2.86127	2.99394	2.85208	0.554818	0.485139	0.700591	0.515969	0.514918
"C7orf11"	28.3854	24.3955	28.1155	28.9605	42.0702	7.23836	7.127	7.28476	7.64339	11.2864
"C7orf13"	2.71215	3.18243	2.77109	2.77968	3.72625	2.62562	2.65683	2.80481	2.78546	2.57195
"C7orf23"	19.5594	16.3553	18.9972	19.3826	19.5711	5.62896	5.51882	5.74028	5.71348	5.8221
"C7orf25"	6.85393	6.01925	6.36287	6.6571	6.47594	5.8344	5.77556	5.80548	5.44452	5.89405
"C7orf26"	11.1565	13.3141	12.5687	12.4407	11.9156	9.13117	9.25926	9.05658	9.28127	7.74174
"C7orf28B"	26.4963	24.8006	25.1676	25.7252	25.2812	11.7646	11.4285	12.0382	11.6265	12.5994
"C7orf29"	9.22267	10.5546	9.81946	9.87069	9.81049	0.318878	0.373404	0.363895	0.261585	0.339149
"C7orf30"	29.3367	26.7619	26.6102	29.5473	37.6353	10.6501	10.5112	10.7553	10.5119	15.3936
"C7orf31"	1.07557	1.05937	1.08555	1.17557	1.17939	0.770454	0.852693	0.795982	0.778848	0.938386
"C7orf33"	0	0	0	0	0.0127337	0.00852914	0	0	0	0
"C7orf34"	0.143297	0.239539	0.178125	0.2083	0.0253499	0.28485	0.25911	0.228365	0.329838	0.206684
"C7orf36"	13.4905	11.4682	11.3075	13.7206	11.9825	6.56175	6.97981	7.3176	7.49693	6.92512
"C7orf40"	34.3593	34.9716	35.4928	35.3629	29.3666	11.518	13.3737	13.1435	12.3169	11.6307
"C7orf41"	5.42136	5.10191	5.08527	5.19697	5.22347	215.335	214.059	217.859	214.002	220.224
"C7orf42"	24.8039	24.8154	25.479	25.5045	27.3329	18.3048	18.1517	18.2659	18.5865	18.8562
"C7orf43"	4.73934	6.46503	6.15357	5.40416	7.26111	7.91537	8.33663	8.0553	8.05868	9.00643
"C7orf44"	61.6938	61.6344	59.2598	64.1344	50.8001	25.8319	26.1174	27.1705	25.3812	22.0986
"C7orf45"	0.0438363	0	0.0722311	0.0452313	0.0612315	0	0.0491708	0	0.0117637	0.0178967
"C7orf46"	2.24101	1.90653	2.0509	1.84745	1.74835	9.07536	9.24781	9.77044	9.07354	10.3222
"C7orf49"	21.1012	23.7924	22.8031	21.2317	20.3255	4.03383	4.25477	4.36435	4.32633	3.74782
"C7orf50"	11.5869	16.5349	16.5976	12.8642	37.5629	13.7513	13.6566	13.6168	13.9411	25.989
"C7orf51"	0.243102	0.340795	0.335143	0.285813	0.506466	11.1455	10.6294	11.3381	11.7956	15.8509
"C7orf52"	0.275968	0.277334	0.381027	0.310456	0.298949	0.223811	0.256322	0.264256	0.297749	0.248748
"C7orf53"	0.967343	0.939039	0.822561	1.14118	0.811421	1.07274	1.09571	1.01191	1.10983	0.963721
"C7orf54"	0.213403	0.20474	0.19348	0.171419	0.0752034	0.439563	0.534141	0.55638	0.512359	0.426393
"C7orf55"	8.22719	10.6484	9.5041	9.75767	11.5755	8.15679	8.34503	7.97958	8.34174	9.02328
"C7orf57"	0.13355	0.104144	0.155172	0.201132	0.13851	0.077727	0.0546109	0.0897111	0.0949054	0.0902201
"C7orf58"	5.97203	5.64206	5.72849	5.59729	6.19296	0.372633	0.475774	0.35048	0.343971	0.43475
"C7orf59"	55.45	82.0485	83.6274	73.1022	72.1338	70.3849	69.6386	70.2187	69.9493	56.7558
"C7orf60"	3.8428	3.36588	3.48098	3.72157	3.83185	3.7293	3.53115	3.6233	3.53606	4.22619
"C7orf61"	0.529904	0.673616	0.597279	0.491624	0.706675	1.32748	1.47604	1.64839	1.61343	1.62947
"C7orf62"	0	0	0	0	0	0.0355716	0.0114175	0.0459357	0.013663	0.0207877
"C7orf63"	0.674176	0.666253	0.597461	0.647259	0.62731	0.745697	0.695338	0.871815	0.730268	0.756022
"C7orf64"	7.34932	7.01911	6.52493	7.36738	6.22918	8.35819	8.11015	8.90709	8.10365	7.82235
"C7orf65"	0.0238605	0.00874249	0.00651454	0.00652438	0.0109663	0	0	0	0.00846075	0
"C7orf66"	0	0	0	0	0	0	0	0	0	0
