SLC25A26	ENSG00000261657
EEF1A1P5	ENSG00000196205
ATP5C1P1	ENSG00000224004
AIMP1P2	ENSG00000227177
RNU6-1055P	ENSG00000212387
RAB10	ENSG00000084733
ADH5P2	ENSG00000232676
AZI1	ENSG00000141577
RN7SKP40	ENSG00000253020
NDUFA3P3	ENSG00000213032
MTFMT	ENSG00000103707
RNU6-465P	ENSG00000207149
OVOL1	ENSG00000172818
RNU6ATAC9P	ENSG00000252019
RNU6-949P	ENSG00000206767
GOT2P2	ENSG00000230849
OR5M2P	ENSG00000254752
MIR4308	ENSG00000265432
RNU6-550P	ENSG00000212359
CHMP1AP1	ENSG00000226662
PDCL3P3	ENSG00000214286
OR2H4P	ENSG00000235401
SETP12	ENSG00000251609
MIR4506	ENSG00000265768
NAALADL2-AS3	ENSG00000230292
FDPSP3	ENSG00000258872
HMGB1P18	ENSG00000236407
RNU6-424P	ENSG00000207095
ERI3	ENSG00000117419
PLEC	ENSG00000261109
MRPS36P2	ENSG00000249539
BCLAF1	ENSG00000029363
OR5M7P	ENSG00000254490
RN7SKP137	ENSG00000223006
OR2G1P	ENSG00000224392
LINC00521	ENSG00000175699
NAALADL2-AS2	ENSG00000226779
RPEP3	ENSG00000230833
ZNF192P2	ENSG00000218016
PROM2	ENSG00000155066
MIR4789	ENSG00000264974
HNRNPA1P64	ENSG00000213559
RNU6-1233P	ENSG00000199792
RNU6-948P	ENSG00000252183
NPM1P37	ENSG00000219085
HIST2H3DP1	ENSG00000213244
RNU4-91P	ENSG00000201648
OR12D1	ENSG00000251547
OR5M6P	ENSG00000254603
IL10RB	ENSG00000243646
RNU6-1245P	ENSG00000223062
PTP4A2P2	ENSG00000254481
ZNF546	ENSG00000187187
SCARNA1	ENSG00000252947
LLPH	ENSG00000139233
ZC3H11A	ENSG00000058673
ADAMTS9-AS2	ENSG00000241684
GAPDHP42	ENSG00000219881
HIST2H2BA	ENSG00000223345
YBX1P9	ENSG00000236994
OR5M5P	ENSG00000185701
OR5V1	ENSG00000240130
UBE2V1P2	ENSG00000214192
TOB2P1	ENSG00000176933
RPSAP42	ENSG00000219463
TUBB4BP5	ENSG00000224062
RPL37P15	ENSG00000216365
UGT2B29P	ENSG00000250566
NUDT16	ENSG00000198585
RNU6-1317P	ENSG00000201452
LINC01116	ENSG00000163364
C1orf210	ENSG00000253313
FAM161A	ENSG00000170264
NAALADL2-AS1	ENSG00000225552
UBDP1	ENSG00000224044
RN7SL559P	ENSG00000240750
GJD4	ENSG00000177291
SPCS2P4	ENSG00000228589
RN7SKP165	ENSG00000223282
RN7SKP263	ENSG00000223126
CDKN2AIPNLP1	ENSG00000177770
RN7SL335P	ENSG00000241037
MARCKSL1P2	ENSG00000215878
ZNF619	ENSG00000177873
PPP1R14C	ENSG00000198729
OR5M13P	ENSG00000166693
RN7SKP160	ENSG00000200674
MAS1LP1	ENSG00000227859
SRGAP2C	ENSG00000171943
ITPKB-IT1	ENSG00000228382
GAS5-AS1	ENSG00000270084
ATP8A2	ENSG00000132932
RNU6-254P	ENSG00000200247
TBX21	ENSG00000073861
MIR3145	ENSG00000266555
OR5AM1P	ENSG00000255172
EEF1A1P4	ENSG00000245205
RPS17P1	ENSG00000229439
LINC01117	ENSG00000224577
ITPKB-AS1	ENSG00000228548
MTND2P30	ENSG00000227937
RNU7-48P	ENSG00000238386
RPL7P10	ENSG00000229752
RNU6-176P	ENSG00000253005
RPS27P5	ENSG00000238183
RNU7-29P	ENSG00000252429
VCX3A	ENSG00000169059
CFL1	ENSG00000172757
SLC25A6P6	ENSG00000218870
SPEF2	ENSG00000152582
TAP1	ENSG00000206297
RNU6ATAC14P	ENSG00000252027
ARID1B	ENSG00000049618
RNU1-146P	ENSG00000200885
RN7SKP247	ENSG00000223026
MYO15B	ENSG00000266714
HNRNPA3P14	ENSG00000224494
SF1	ENSG00000168066
CELP	ENSG00000170827
ATP2A3	ENSG00000074370
RNU6ATAC27P	ENSG00000221216
SNHG3	ENSG00000242125
LDLRAD2	ENSG00000187942
GIMAP2	ENSG00000106560
PPIAP13	ENSG00000237882
FUCA1P1	ENSG00000237053
FZD8	ENSG00000177283
FNIP2	ENSG00000052795
SNORA73B	ENSG00000200087
GUSBP11	ENSG00000228315
RNU6-1249P	ENSG00000200107
IGHV4-39	ENSG00000211959
PRDX3P2	ENSG00000231468
RNU6-427P	ENSG00000206856
NARF-IT1	ENSG00000266236
LINC01015	ENSG00000226687
YWHAZP2	ENSG00000213236
MED28P8	ENSG00000242598
RNU6-187P	ENSG00000206866
LYPLA1P3	ENSG00000218350
SLC35C2	ENSG00000080189
TIE1	ENSG00000066056
IGHV3-43	ENSG00000232216
CCNB1IP1	ENSG00000100814
SNORD93	ENSG00000221740
IFT20	ENSG00000109083
RNU6-411P	ENSG00000207180
IGHV1-45	ENSG00000211961
LCN1P1	ENSG00000119440
RNA5SP112	ENSG00000251746
MSANTD4	ENSG00000170903
GPR53P	ENSG00000224894
EMBP1	ENSG00000231752
GOLGA8F	ENSG00000153684
OR2I1P	ENSG00000231973
LINC00514	ENSG00000262152
SLC22A4	ENSG00000197208
SPTSSB	ENSG00000196542
ST13P20	ENSG00000215875
HDHD1	ENSG00000130021
BTF3P9	ENSG00000224834
SNORA19	ENSG00000207468
RNU6-675P	ENSG00000206963
IFNAR1	ENSG00000142166
KRT8P40	ENSG00000213069
PBOV1	ENSG00000254440
MIR4525	ENSG00000266107
RNU7-182P	ENSG00000238788
MIR4444-2	ENSG00000263721
DNAJC19P5	ENSG00000225808
OR2H5P	ENSG00000235630
MIR3128	ENSG00000265396
SNHG12	ENSG00000197989
TUBB8P10	ENSG00000237469
ACADSB	ENSG00000196177
NIFKP9	ENSG00000237630
RPL23A	ENSG00000198242
ADAM20P3	ENSG00000249162
DKK2	ENSG00000155011
PNO1	ENSG00000115946
RFC5	ENSG00000111445
TMEM183AP1	ENSG00000229737
NAT9	ENSG00000109065
ASLP1	ENSG00000244723
C20orf27	ENSG00000101220
HMGB3P11	ENSG00000213301
ITFG3	ENSG00000167930
LRBA	ENSG00000198589
MTND4P2	ENSG00000248704
BCL2L13	ENSG00000099968
RNU6-173P	ENSG00000201085
TUBB8P9	ENSG00000235827
RNU2-45P	ENSG00000251877
COX11P1	ENSG00000231162
GAS5	ENSG00000234741
RPL13AP	ENSG00000206519
CCDC17	ENSG00000159588
OR2E1P	ENSG00000219262
MIR4435-1	ENSG00000265507
MTND3P2	ENSG00000230052
SSX8	ENSG00000157965
SUMO2P1	ENSG00000234528
CXXC1	ENSG00000154832
C10orf118	ENSG00000165813
TMBIM4	ENSG00000155957
CCL15-CCL14	ENSG00000161574
ZNF861P	ENSG00000267235
ACTR3BP3	ENSG00000260327
ZBED6	ENSG00000257315
TTLL7-IT1	ENSG00000233061
RN7SKP112	ENSG00000223145
RPL39P25	ENSG00000227271
LINC00533	ENSG00000235570
LINC01158	ENSG00000233639
ATP5F1P6	ENSG00000219806
PFDN6	ENSG00000235692
ABO	ENSG00000175164
NARG2P1	ENSG00000248880
RPSAP2	ENSG00000237425
ZNF503-AS1	ENSG00000226051
FKBP8	ENSG00000105701
LINC00472	ENSG00000233237
SNRPE	ENSG00000182004
UCA1	ENSG00000214049
RNA5SP77	ENSG00000202264
LINC01060	ENSG00000249378
HEBP2	ENSG00000051620
SNX18P15	ENSG00000225015
IYD	ENSG00000009765
MIR3118-1	ENSG00000265715
MARCH6	ENSG00000145495
SNX32	ENSG00000172803
API5P2	ENSG00000213962
SNX18P16	ENSG00000233218
ZNF847P	ENSG00000215812
ANKRD20A12P	ENSG00000242676
SNORD99	ENSG00000221539
PABPC1P13	ENSG00000260307
OTOL1	ENSG00000182447
RNU6-629P	ENSG00000206788
TOP3A	ENSG00000177302
CYCTP	ENSG00000249909
SNAP47-AS1	ENSG00000230005
RNA5SP276	ENSG00000199450
COCH	ENSG00000100473
GIMAP1	ENSG00000213203
STS	ENSG00000101846
RPL13P	ENSG00000213916
RNU11	ENSG00000270103
MIR5008	ENSG00000264483
ZNF251	ENSG00000198169
RNU6-23P	ENSG00000200153
C4orf45	ENSG00000164123
SNORD111B	ENSG00000221514
CICP26	ENSG00000233003
ZNF90P2	ENSG00000233366
SNORD111	ENSG00000221066
RAD21-AS1	ENSG00000253327
MIR1289-2	ENSG00000221287
MIR3610	ENSG00000264875
RNU5E-9P	ENSG00000223096
HCG14	ENSG00000224157
HSPG2	ENSG00000142798
ZDHHC20P1	ENSG00000228371
UOX	ENSG00000240520
ILF2P1	ENSG00000244226
RN7SL228P	ENSG00000244033
VAC14-AS1	ENSG00000214353
IRF7	ENSG00000185507
PMEL	ENSG00000185664
MIR3620	ENSG00000264944
MSRB2	ENSG00000148450
MIR30C2	ENSG00000199094
HCG4P11	ENSG00000224921
FAM96AP2	ENSG00000224566
NFKBIE	ENSG00000146232
MIR30A	ENSG00000207827
RNU6-930P	ENSG00000212240
RPL17P17	ENSG00000223409
PAPSS1	ENSG00000138801
KRT18P1	ENSG00000228666
MAGI1-IT1	ENSG00000272610
BASP1	ENSG00000176788
MAGI1-AS1	ENSG00000240175
RN7SL826P	ENSG00000240151
TMEM41B	ENSG00000166471
MTMR11	ENSG00000014914
RN7SL471P	ENSG00000263426
RPS10P16	ENSG00000239917
KRT19P1	ENSG00000218014
HCG15	ENSG00000227214
WIPF1	ENSG00000115935
RPS26P35	ENSG00000242206
HCG16	ENSG00000244349
PKHD1	ENSG00000170927
RBP2	ENSG00000114113
CYP4F9P	ENSG00000267392
OR2AD1P	ENSG00000223677
RNA5SP220	ENSG00000252107
RNU6ATAC25P	ENSG00000221725
MED28	ENSG00000118579
RNU6-12P	ENSG00000207334
MIR3668	ENSG00000263514
RNU4-66P	ENSG00000202069
OR2P1P	ENSG00000236909
ASNSP5	ENSG00000229683
RNA5SP138	ENSG00000201968
MIR4465	ENSG00000264390
VDAC1P5	ENSG00000270858
STK19	ENSG00000206342
RPS3AP24	ENSG00000217684
OR9K1P	ENSG00000196534
RNU7-192P	ENSG00000252275
LINC01159	ENSG00000229743
CD209	ENSG00000090659
NUP210P1	ENSG00000198284
MAL2	ENSG00000147676
OR2N1P	ENSG00000203492
KCNQ5-IT1	ENSG00000233844
SEZ6L	ENSG00000100095
ANKRD20A14P	ENSG00000232745
RPL23AP1	ENSG00000239784
MIR4282	ENSG00000266180
SOX13	ENSG00000143842
MIR4666A	ENSG00000266174
OR2J4P	ENSG00000224233
HIST3H2BA	ENSG00000181201
MIR3661	ENSG00000266751
KNOP1P4	ENSG00000232422
MICE	ENSG00000251197
RNA5SP504	ENSG00000222608
OR2H4P	ENSG00000230598
SPATA1	ENSG00000122432
SI	ENSG00000090402
SSXP5	ENSG00000225508
BTNL10	ENSG00000215811
OR52A4	ENSG00000205494
RN7SKP106	ENSG00000222764
PGAM1P10	ENSG00000220515
RAPGEF2	ENSG00000109756
FOLH1B	ENSG00000134612
VCX	ENSG00000182583
MIR3660	ENSG00000264342
RPS3AP23	ENSG00000218351
KCNQ5-AS1	ENSG00000229154
OR2G1P	ENSG00000213911
ARMC4	ENSG00000169126
OR51A1P	ENSG00000176752
OR2U1P	ENSG00000204697
HSPA1L	ENSG00000236251
RN7SL268P	ENSG00000244425
SLC39A5	ENSG00000139540
TTN-AS1	ENSG00000237298
OR52Z1	ENSG00000176748
GIMAP5	ENSG00000196329
KHDC1P1	ENSG00000251360
OR2U2P	ENSG00000242524
RNA5SP19	ENSG00000202056
RNA5S1	ENSG00000199352
LINC00661	ENSG00000205396
GEMIN5	ENSG00000082516
OR2B4P	ENSG00000197171
RNA5S2	ENSG00000201588
FAM129B	ENSG00000136830
LINC01019	ENSG00000248118
MATN1-AS1	ENSG00000186056
RNA5S3	ENSG00000199337
SLC22A5	ENSG00000197375
PLEKHM1	ENSG00000225190
FAM184B	ENSG00000047662
RNA5S4	ENSG00000200381
HCG9P5	ENSG00000236619
HBBP1	ENSG00000229988
DDX6P1	ENSG00000230056
LCN1P2	ENSG00000204031
RNA5S5	ENSG00000199396
HSP90AA4P	ENSG00000205100
TMEM261	ENSG00000137038
UBDP1	ENSG00000225797
RNA5S6	ENSG00000200624
IFNGR2	ENSG00000159128
PSMG3	ENSG00000157778
ZNF34	ENSG00000196378
RNU6-456P	ENSG00000207222
RN7SKP153	ENSG00000201896
RNA5S7	ENSG00000202521
RPSAP41	ENSG00000239626
RN7SL396P	ENSG00000244642
CDH18	ENSG00000145526
PNPLA4	ENSG00000006757
CDH12P1	ENSG00000254335
SLC51B	ENSG00000186198
HSPA1A	ENSG00000237724
MAS1LP1	ENSG00000230164
IFITM4P	ENSG00000230722
MIR4420	ENSG00000264773
RNA5S8	ENSG00000200343
RPS17P1	ENSG00000213900
MIR3118-2	ENSG00000265661
RNA5S9	ENSG00000201321
RN7SL541P	ENSG00000240250
RNA5S10	ENSG00000199910
RNA5SP277	ENSG00000202356
EIF3EP1	ENSG00000234882
DAAM2	ENSG00000146122
SDCBP2P1	ENSG00000223389
RNA5S11	ENSG00000199334
RNA5SP398	ENSG00000252972
PAICSP3	ENSG00000226840
MTATP8P2	ENSG00000229604
RNU6-1311P	ENSG00000207459
RNA5S12	ENSG00000199270
RNU6-1061P	ENSG00000252339
LINC01015	ENSG00000224582
OR5M12P	ENSG00000197866
IL21-AS1	ENSG00000227145
RNU6-1164P	ENSG00000201298
SNORD24	ENSG00000206611
RNU6-757P	ENSG00000222266
RNA5S13	ENSG00000202526
ARL1	ENSG00000120805
RPL39P33	ENSG00000243058
RN7SKP91	ENSG00000222784
HLA-V	ENSG00000206444
RNA5S14	ENSG00000201355
OR51AB1P	ENSG00000229093
OOEP-AS1	ENSG00000231332
SNORD36B	ENSG00000200831
OR5AP1P	ENSG00000254795
RPL39P3	ENSG00000235174
RNA5S15	ENSG00000201925
SNORD103A	ENSG00000200154
RCC2P4	ENSG00000249558
GPR53P	ENSG00000229281
RNU6-208P	ENSG00000199301
RNA5S16	ENSG00000202257
SNORD103B	ENSG00000202107
CETN4P	ENSG00000224786
OR2I1P	ENSG00000237988
SNORA70D	ENSG00000263666
OR2AH1P	ENSG00000232511
RPS6P8	ENSG00000224221
LINC00905	ENSG00000167459
SNORD85	ENSG00000200181
INO80B	ENSG00000115274
RNA5S17	ENSG00000200370
SNORD36A	ENSG00000199744
RNU6-1147P	ENSG00000200250
OR2H5P	ENSG00000232173
RNU6ATAC37P	ENSG00000221255
WBP1LP5	ENSG00000259454
RNU6-1158P	ENSG00000212469
RNA5SP18	ENSG00000212237
RPL35AP19	ENSG00000239872
RBP1	ENSG00000114115
DUSP5P1	ENSG00000183929
MTND6P4	ENSG00000249119
MIR585	ENSG00000207619
HSPA1B	ENSG00000224501
IDE	ENSG00000119912
SNORD36C	ENSG00000252542
CNFN	ENSG00000105427
IPO7	ENSG00000205339
MIR4783	ENSG00000264075
MIR3614	ENSG00000265238
RASL12	ENSG00000103710
TMEM183AP1	ENSG00000227609
MIR450B	ENSG00000216001
RNU6-1047P	ENSG00000201288
VCX2	ENSG00000177504
RNU6-975P	ENSG00000207023
RNU6-477P	ENSG00000206614
SEPW1P	ENSG00000215900
OR4G2P	ENSG00000183909
MIR450A1	ENSG00000199132
OR9G3P	ENSG00000181325
HAS2-AS1	ENSG00000248690
MIR450A2	ENSG00000207755
FTH1P2	ENSG00000234975
SNORD32B	ENSG00000201330
TAMM41	ENSG00000144559
MIR542	ENSG00000207784
FAM138E	ENSG00000248893
RNU7-153P	ENSG00000252264
MTND5P11	ENSG00000248923
RPL13AP	ENSG00000231301
SNORD78	ENSG00000208317
RGL2	ENSG00000228736
KRR1	ENSG00000111615
RNA5SP67	ENSG00000252231
MTND4P12	ENSG00000247627
OR9G2P	ENSG00000254825
MIR503HG	ENSG00000223749
RNA5SP68	ENSG00000200755
SUMO2P1	ENSG00000235238
ISCA1P2	ENSG00000229840
RC3H1-IT1	ENSG00000236535
SNORD71	ENSG00000223224
RPS27P15	ENSG00000218459
RNF126P1	ENSG00000261192
RNU1-51P	ENSG00000202215
SNX33P1	ENSG00000267609
MIR4461	ENSG00000198868
OR5G1P	ENSG00000181296
RNU6-397P	ENSG00000252035
RN7SL330P	ENSG00000244391
BRSK2	ENSG00000174672
DBH-AS1	ENSG00000225756
MTND4P18	ENSG00000228694
ZDHHC20P1	ENSG00000233916
RBMS2P1	ENSG00000213250
APOB	ENSG00000084674
MIR378E	ENSG00000263831
OR5G4P	ENSG00000255485
OR51B3P	ENSG00000223735
TUBB8P2	ENSG00000218896
OR1AB1P	ENSG00000267450
KRT18P41	ENSG00000253219
RPL30P1	ENSG00000225713
HCG4P11	ENSG00000225864
RNA5SP221	ENSG00000223203
CDH12P4	ENSG00000253900
DCAF16	ENSG00000163257
RN7SL483P	ENSG00000244091
VCX3B	ENSG00000205642
TXNP7	ENSG00000217268
MIR4461	ENSG00000263963
LINC01091	ENSG00000249464
HLA-F-AS1	ENSG00000214922
OR5G5P	ENSG00000205025
NAMPTL	ENSG00000229644
MUS81	ENSG00000172732
SUCLG2P2	ENSG00000236349
STK38	ENSG00000112079
OR51B8P	ENSG00000236359
MIR1302-11	ENSG00000259553
VARS	ENSG00000231945
MRPS36P3	ENSG00000253814
GUSBP9	ENSG00000215630
RNU6-180P	ENSG00000252506
RNU2-63P	ENSG00000222724
RNU6-40P	ENSG00000206981
RN7SKP276	ENSG00000252051
MIR5700	ENSG00000266099
MLLT10P2	ENSG00000249462
MIR383	ENSG00000199127
LSM3P2	ENSG00000257847
UBTFL2	ENSG00000234376
VDAC1P8	ENSG00000241847
HMGA1P5	ENSG00000233313
LINC01151	ENSG00000253819
KAZALD1	ENSG00000107821
LINC00094	ENSG00000235106
GPBP1L1	ENSG00000159592
MIR4776-2	ENSG00000266354
C6orf48	ENSG00000226710
MKNK2P1	ENSG00000233533
HCG4	ENSG00000237905
KRT19P2	ENSG00000216306
OR5AK3P	ENSG00000181282
ANKRD34B	ENSG00000189127
RNU4-48P	ENSG00000202429
RPL23AP1	ENSG00000239257
BANF1P4	ENSG00000223828
TUBB7P	ENSG00000251297
LIPE	ENSG00000079435
OR5AK1P	ENSG00000255083
ARL6IP1P2	ENSG00000225355
RN7SL844P	ENSG00000243745
MICE	ENSG00000273340
MYCT1	ENSG00000120279
RNU6-811P	ENSG00000206796
OR5BQ1P	ENSG00000273228
EI24P1	ENSG00000236357
NDUFAF4P4	ENSG00000231378
RNU4-21P	ENSG00000199672
OR51K1P	ENSG00000248424
MIR4780	ENSG00000265003
CTNND1	ENSG00000198561
KBTBD13	ENSG00000234438
RNY4P7	ENSG00000201470
RNA5SP78	ENSG00000201492
OR5AK4P	ENSG00000224196
HMGN2P19	ENSG00000229367
HLA-P	ENSG00000260638
MIR4438	ENSG00000265734
TLCD1	ENSG00000160606
RPL21P50	ENSG00000228489
SPA17P1	ENSG00000236797
OR5AO1P	ENSG00000272676
RNY4P15	ENSG00000202012
TRIM64DP	ENSG00000254751
ATP8A2P1	ENSG00000240800
TCEAL3-AS1	ENSG00000224031
OR5BP1P	ENSG00000273255
MRPL42P3	ENSG00000219297
HMGB1P26	ENSG00000225984
UBAP1L	ENSG00000246922
RNF144B	ENSG00000137393
RABGAP1L-IT1	ENSG00000223525
MIR4423	ENSG00000266110
RPL5P8	ENSG00000213917
RNU6-395P	ENSG00000202532
TPT1P4	ENSG00000217027
RN7SL314P	ENSG00000244402
RNA5SP341	ENSG00000252070
OR51A10P	ENSG00000230484
RN7SKP259	ENSG00000222998
LINC00593	ENSG00000259703
SERPINA2P	ENSG00000258597
ANKRD29	ENSG00000154065
RNA5SP174	ENSG00000199572
RN7SL146P	ENSG00000240106
ZNF503-AS2	ENSG00000237149
PPM1AP1	ENSG00000250483
HCG9P5	ENSG00000227758
RNA5SP175	ENSG00000201145
RNY4P5	ENSG00000199678
ELFN1	ENSG00000225968
MIR4254	ENSG00000266580
HMGB1P39	ENSG00000203489
ADAM3A	ENSG00000197475
DUX4L9	ENSG00000224807
HMGB1P19	ENSG00000253463
ADIPOR1P2	ENSG00000258805
NCAPG	ENSG00000109805
WASH3P	ENSG00000185596
IFITM4P	ENSG00000235821
RARRES2P4	ENSG00000250053
RPS4XP13	ENSG00000240371
MIR629	ENSG00000207965
OR9R1P	ENSG00000224622
RPL7AP7	ENSG00000233113
MORF4L2-AS1	ENSG00000231154
SHISA2	ENSG00000180730
RNU6-745P	ENSG00000200216
VIP	ENSG00000146469
OR10U1P	ENSG00000227423
MRPL45P1	ENSG00000232508
RNA5SP51	ENSG00000201620
RNU6-1088P	ENSG00000252659
OR6C69P	ENSG00000213451
RNU6-307P	ENSG00000252552
EPHA1-AS1	ENSG00000229153
RNU6-298P	ENSG00000212190
VWC2L-IT1	ENSG00000224257
HLA-V	ENSG00000181126
RNU4-90P	ENSG00000199643
SDCCAG3P2	ENSG00000181101
RNU1-128P	ENSG00000252513
MIR5585	ENSG00000266203
TRIM53BP	ENSG00000166013
KAL1	ENSG00000011201
OR6C72P	ENSG00000205331
RPS27P25	ENSG00000239881
ENSAP3	ENSG00000177261
AGGF1P1	ENSG00000214273
ANKRD30A	ENSG00000148513
SPEF1	ENSG00000101222
FAM83A-AS1	ENSG00000204949
RN7SL138P	ENSG00000266274
MIR4463	ENSG00000263533
RNA5SP511	ENSG00000222419
RNU1-33P	ENSG00000201119
CLUHP4	ENSG00000249003
ELMO1	ENSG00000155849
TAS2R62P	ENSG00000234066
TRAPPC2P3	ENSG00000224964
TECRP2	ENSG00000248565
KIAA1279	ENSG00000198954
TRIM51BP	ENSG00000204455
ZNF318	ENSG00000171467
MICG	ENSG00000224355
OR2R1P	ENSG00000236853
OR6C5P	ENSG00000230307
MIR130A	ENSG00000208009
RNU6-568P	ENSG00000253029
LINC00298	ENSG00000235665
MIR4454	ENSG00000253348
MIR4663	ENSG00000266324
HCG4P8	ENSG00000225023
GPKOW	ENSG00000068394
LINC00675	ENSG00000263429
OR52V1P	ENSG00000249633
TNR-IT1	ENSG00000235628
OFD1P1Y	ENSG00000226011
TMEM151B	ENSG00000178233
MIR492	ENSG00000208038
UBA52P5	ENSG00000243498
RPL29P30	ENSG00000235420
OR5BA1P	ENSG00000255303
OR6C7P	ENSG00000257757
HCG4	ENSG00000176998
RN7SL467P	ENSG00000263779
C11orf84	ENSG00000168005
DUX4L8	ENSG00000250537
RNU1-34P	ENSG00000201291
MYO5A	ENSG00000197535
RN7SL437P	ENSG00000263902
RNA5SP79	ENSG00000202063
PAICSP5	ENSG00000229877
KY	ENSG00000174611
RPL26P20	ENSG00000219722
RNU6-628P	ENSG00000222607
RN7SL206P	ENSG00000264856
MTMR9LP	ENSG00000220785
LUCAT1	ENSG00000248323
CLCA3P	ENSG00000153923
HLA-P	ENSG00000261548
NUPL1P1	ENSG00000251436
RNF6	ENSG00000127870
RN7SKP66	ENSG00000252490
CBX3P5	ENSG00000257666
RNU6-1048P	ENSG00000200924
RN7SL449P	ENSG00000242889
NHSL1	ENSG00000135540
RNU7-134P	ENSG00000238447
ETNK2	ENSG00000143845
LINC00299	ENSG00000236790
TMEM248P1	ENSG00000249555
SCARNA3	ENSG00000252906
RN7SL837P	ENSG00000240502
OR6C71P	ENSG00000203408
OR52H2P	ENSG00000248553
RN7SL623P	ENSG00000244501
RNU6-1338P	ENSG00000252137
RNU6-566P	ENSG00000252599
CCNB1	ENSG00000134057
MRPL49P2	ENSG00000253934
PKD1L3	ENSG00000187008
MICF	ENSG00000232253
RN7SKP94	ENSG00000222976
MIR1182	ENSG00000221290
HCG4P7	ENSG00000230419
FUNDC2P3	ENSG00000187103
PLK4	ENSG00000142731
RNU6-875P	ENSG00000252297
RPL7AP7	ENSG00000213880
RNU6-1016P	ENSG00000252498
MIR548D1	ENSG00000207704
TMEM176B	ENSG00000106565
RN7SKP163	ENSG00000200091
HLA-H	ENSG00000227296
RPL31P52	ENSG00000219355
RNA5SP222	ENSG00000222971
OR6C66P	ENSG00000233606
PLGLA	ENSG00000240935
KRT8P9	ENSG00000259470
RNU6-155P	ENSG00000252156
MICG	ENSG00000237042
DUTP2	ENSG00000254388
SPICE1	ENSG00000163611
RNA5SP209	ENSG00000223169
RNU2-12P	ENSG00000253025
HCG4P8	ENSG00000229142
DYNLL1-AS1	ENSG00000248008
HLA-DPB1	ENSG00000230708
OR6C73P	ENSG00000257414
FSTL5	ENSG00000168843
MICF	ENSG00000233265
DHFR	ENSG00000228716
HLA-DOB	ENSG00000243496
RNU6-248P	ENSG00000222652
HCG4P7	ENSG00000230521
IMPDH1P6	ENSG00000254294
OR52B5P	ENSG00000231049
RNU6ATAC	ENSG00000221676
RNU6-261P	ENSG00000238697
DYNLT3P2	ENSG00000229758
RPL5P3	ENSG00000242276
TMEM87B	ENSG00000153214
RNU6-1168P	ENSG00000212133
RNU6-734P	ENSG00000207465
HLA-H	ENSG00000206341
HLA-T	ENSG00000229552
TCEB1P6	ENSG00000225740
PHC1P1	ENSG00000179899
KATNBL1P6	ENSG00000228283
RNU6-1007P	ENSG00000252395
RBM48P1	ENSG00000223620
RNA5SP80	ENSG00000222407
DPPA3P1	ENSG00000227067
OR52T1P	ENSG00000233646
SNRPD2P2	ENSG00000223982
TMEM50B	ENSG00000142188
DDX39BP1	ENSG00000236441
MORF4L1P7	ENSG00000225904
RN7SKP155	ENSG00000251840
MCTP2	ENSG00000140563
CDY6P	ENSG00000229138
SRSF3	ENSG00000112081
PTP4A1P7	ENSG00000237514
H2BFXP	ENSG00000233320
MCCD1P1	ENSG00000229411
HCG4B	ENSG00000220391
PLA2G4B	ENSG00000243708
ZNF780B	ENSG00000128000
RPS6P7	ENSG00000219253
HLA-T	ENSG00000231130
RN7SL474P	ENSG00000264092
RN7SL835P	ENSG00000264250
MIR3118-3	ENSG00000266811
HLA-K	ENSG00000224526
HNRNPA1P53	ENSG00000229534
RN7SL823P	ENSG00000263595
EEF1A1P19	ENSG00000249855
RPL29P24	ENSG00000241030
STXBP5-AS1	ENSG00000233452
MIR4669	ENSG00000263897
DDX39BP1	ENSG00000233677
MPL	ENSG00000117400
MIR488	ENSG00000202609
FER1L6-AS1	ENSG00000181171
PDCD7	ENSG00000090470
FOXI3	ENSG00000214336
MCCD1P1	ENSG00000235963
CCDC8	ENSG00000169515
LINC00607	ENSG00000235770
HLA-U	ENSG00000229428
RNVU1-1	ENSG00000238603
USP9YP7	ENSG00000224485
RNA5SP139	ENSG00000201210
HCG4B	ENSG00000227262
RNU2-37P	ENSG00000222627
GAPDHP20	ENSG00000224333
HCG4P5	ENSG00000235952
RUVBL1-AS1	ENSG00000239608
HLA-K	ENSG00000230795
HLA-W	ENSG00000228029
RNU6-823P	ENSG00000212344
RPL11P5	ENSG00000242137
ZNF804A	ENSG00000170396
DENND3	ENSG00000105339
MIR1280	ENSG00000221067
PHBP10	ENSG00000232665
LINC00582	ENSG00000229228
OR52U1P	ENSG00000232381
FER1L6-AS2	ENSG00000253868
DNAJB8-AS1	ENSG00000242049
PNMAL1	ENSG00000182013
HMGN3-AS1	ENSG00000270362
MED1	ENSG00000125686
MICD	ENSG00000232345
RN7SL339P	ENSG00000265740
LINC01020	ENSG00000215231
HLA-U	ENSG00000228078
ADAM24P	ENSG00000214607
RNU5A-5P	ENSG00000222986
MAD1L1	ENSG00000002822
DISC1-IT1	ENSG00000226758
HCG4P5	ENSG00000227766
USP9YP6	ENSG00000226116
PPIL3	ENSG00000240344
IGHV1-46	ENSG00000211962
HLA-DMB	ENSG00000241674
RNVU1-2	ENSG00000252135
HLA-W	ENSG00000235290
HCG9	ENSG00000206504
IFT81	ENSG00000122970
RNU1-13P	ENSG00000238825
MIR5692C1	ENSG00000265924
RPL18AP14	ENSG00000223733
ARF1P3	ENSG00000253885
IGHV3-48	ENSG00000211964
OR52P1P	ENSG00000181109
RN7SL299P	ENSG00000242794
